instancia,semilla,generacion,alpha,beta,pop_size,clon_size,porc_afinidad,porc_clones,porc_reemplazo,fo1,fo2,aptitud
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.5541,177,1.69287,6-16,26-1,20-9-13-18-12-15-8,2-4,17-8,13-23-18-29-1-27,16-3-7-14-1-13,23-1,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.8617,175,1.69405,6-16,26-1,20-9-13-18-12-15,2-4-24,17-8,13-23-18-29-1-27,16-3-7-14-1-13,23-1,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.3876,191,1.76094,6-16,26-1,20-9-13-18-12-15-8,2-4,17-8-3,13-23-18-29-1-27,16-3-7-14-1-13-9,23-1,24-15-10-2,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.314,193,1.76875,6-16,26-1-13,20-9-13-18-12-15-8-3,2-4,17-8,13-23-18-29-1-27,16-3-7-14-1-13-9,23-1,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.194,212,1.8652,6-16-3,26-1-13,20-9-13-18-12-15-8,2-4,8-28-3-7-17,13-23-18-29-1-27,16-3-7-14-1-13-9,23-1,24-15-10,29-8-5,3-30-28-11-22-6,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.2365,206,1.83492,6-16-3,26-1-13,20-9-13-18-12-15-8-3,2-4,17-8-28,13-23-18-29-1-27,16-3-7-14-1-13-9,23-1-13,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,19.11,218,1.89389,6-16,26-1-13,20-9-13-18-12-15-8,2-4-5,8-3-17-7,13-23-18-29-1-27,16-3-7-14-1-13-9,23-1-13,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19-14
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,20.3325,153,1.59512,6-16,26-1,9-13,2-4,17-8,13-23-18-29-1-27,16-3-7-14-1-13,23-1,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,20.4342,149,1.57775,6-16,26-1,9-13,2-4,17-8,13-23-18-29-1-27,16-3-7-14-1,23-1,24-15-10,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
Mumford0,1,50,1.01,-0.01,200,150,0.25,0.25,0.3,20.2545,159,1.62404,6-16,26-1,9-13,2-4,17-8,13-23-18-29-1-27,16-3-7-14-1-13-9,23-1,24-15-10-2,29-8-5,3-30-28-11-22,21-24-25-4-12-18-20-13-23-26-1-19
